"t","type","k","id","Ta","To","To2","T"
16:49:55,"dch","40","10",26.17,40.45,41.99,39.587971
16:49:56,"dch","40","10",26.15,40.43,42.15,39.587944
16:49:57,"dch","40","10",26.13,40.41,42.05,39.587929
16:49:58,"dch","40","10",26.17,40.47,41.89,39.587914
16:49:59,"dch","40","10",26.15,40.45,42.11,39.587905
16:50:00,"dch","40","10",26.15,40.43,41.39,39.587891
16:50:01,"dch","40","10",26.15,40.47,40.53,39.587887
16:50:02,"dch","40","10",26.17,40.51,40.35,39.587866
16:50:03,"dch","40","10",26.17,40.47,40.21,39.587861
16:50:04,"dch","40","10",26.15,40.49,39.85,39.587858
16:50:05,"dch","40","10",26.11,40.45,39.83,39.587849
16:50:06,"dch","40","10",26.13,40.45,40.45,39.587849
16:50:07,"dch","40","10",26.11,40.51,41.01,39.587831
16:50:08,"dch","40","10",26.11,40.43,42.71,39.587836
16:50:09,"dch","40","10",26.13,40.51,42.23,39.587831
16:50:10,"dch","40","10",26.17,40.51,42.65,39.587834
16:50:11,"dch","40","10",26.17,40.53,42.39,39.587835
16:50:13,"dch","40","10",26.17,40.51,42.19,39.587835
16:50:14,"dch","40","10",26.15,40.55,42.81,39.587845
16:50:15,"dch","40","10",26.17,40.47,42.71,39.587854
16:50:16,"dch","40","10",26.15,40.51,43.11,39.587861
16:50:18,"dch","40","10",26.17,40.45,42.11,39.587868
16:50:19,"dch","40","10",26.15,40.49,41.41,39.587875
16:50:20,"dch","40","10",26.21,40.49,41.69,39.587873
16:50:21,"dch","40","10",26.17,40.43,41.67,39.587885
16:50:22,"dch","40","10",26.13,40.51,41.93,39.587898
16:50:23,"dch","40","10",26.17,40.47,42.37,39.587904
16:50:24,"dch","40","10",26.17,40.49,42.73,39.587903
16:50:25,"dch","40","10",26.19,40.51,42.63,39.587899
16:50:26,"dch","40","10",26.21,40.51,42.31,39.587902
16:50:27,"dch","40","10",26.17,40.45,40.75,39.587914
16:50:28,"dch","40","10",26.21,40.55,40.67,39.587921
16:50:29,"dch","40","10",26.21,40.55,40.41,39.587929
16:50:30,"dch","40","10",26.21,40.51,41.27,39.587942
16:50:31,"dch","40","10",26.25,40.51,41.55,39.587935
16:50:32,"dch","40","10",26.17,40.45,41.93,39.587942
16:50:33,"dch","40","10",26.19,40.51,41.83,39.587934
16:50:34,"dch","40","10",26.19,40.51,41.93,39.587932
16:50:35,"dch","40","10",26.21,40.49,41.79,39.587937
16:50:36,"dch","40","10",26.15,40.51,41.13,39.587924
16:50:37,"dch","40","10",26.21,40.51,40.09,39.587917
16:50:38,"dch","40","10",26.17,40.47,40.05,39.587903
16:50:39,"dch","40","10",26.21,40.51,40.17,39.587896
16:50:40,"dch","40","10",26.19,40.51,39.59,39.587884
16:50:41,"dch","40","10",26.19,40.55,39.53,39.587867
16:50:42,"dch","40","10",26.19,40.51,39.51,39.587847
16:50:43,"dch","40","10",26.19,40.53,39.97,39.587835
16:50:44,"dch","40","10",26.21,40.41,41.01,39.587819
16:50:45,"dch","40","10",26.15,40.45,42.35,39.587798
16:50:47,"dch","40","10",26.19,40.47,40.91,39.587786
16:50:48,"dch","40","10",26.19,40.51,40.05,39.587742
16:50:49,"dch","40","10",26.15,40.47,40.03,39.587723
16:50:50,"dch","40","10",26.19,40.55,41.47,39.587705
16:50:51,"dch","40","10",26.17,40.55,41.83,39.587677
16:50:52,"dch","40","10",26.19,40.41,41.85,39.587642
16:50:56,"dch","40","10",26.15,40.43,43.31,39.587544
16:50:58,"dch","40","10",26.21,40.47,41.65,39.587489
